titulo;valorMin;valorMax;data;skill;pais
Tenho Aplicativo comercial fiscal, Em Delphi que adicionar novas funções, Trabalhar Com Servidor (Controle De Licença);100;250;13 de Março de 2023 01:07;['C', 'Java', 'Python', 'C#', 'HTML', 'JavaScript', 'MySQL', 'PHP', 'Design Gráfico'];Brasil
Instalar um programa do github;50;100;13 de Março de 2023 00:42;['Python'];Brasil
Correção de 1(uma) rotina em Python em interface com whatsapp;100;250;12 de Março de 2023 22:38;['JavaScript', 'MySQL', 'PHP', 'Python'];Brasil
Projeto Nodejs automação navegador;250;500;12 de Março de 2023 18:02;['C', 'Java', 'Python', 'Node.js'];Brasil
Programa de desktop para uso pessoal;250;500;12 de Março de 2023 03:52;['C', 'Java', 'Python'];Brasil
Automação;250;500;10 de Março de 2023 14:14;['C', 'Java', 'Python', 'C#', 'HTML', 'JavaScript', 'MySQL', 'PHP'];Brasil
Sistema de compras;500;1000;10 de Março de 2023 16:24;['C', 'Java', 'Python'];Chile
100 Scratch Lessons;50;100;10 de Março de 2023 10:42;['C', 'Java', 'Python'];Israel
Bot de Telegram para validação de usuario e ativação de ferramentas;100;250;10 de Março de 2023 04:41;['MySQL', 'PHP', 'API', 'Python'];Brasil
Busco desenvolver python que conheça muito bem django;250;500;10 de Março de 2023 04:00;['Django', 'Python', 'Desenvolvimento Web', 'Docker'];Brasil
Gameplay - Multiplayer 1 versus 1;250;500;09 de Março de 2023 18:35;['HTML5', 'MySQL', 'PHP', 'API', 'CSS', 'HTML', 'JavaScript', 'Python', 'Responsive Web Design'];Brasil
Bot de mensagens para Telegram;250;500;09 de Março de 2023 18:05;['JavaScript', 'MySQL', 'PHP'];Brasil
Full Stack - Odoo Developer;100;250;08 de Março de 2023 16:59;['JavaScript', 'PostgresSQL', 'Python', 'Odoo'];México
Programación de un algoritmo para el análisis del mercado de divisas;50;100;08 de Março de 2023 15:38;['API', 'Python'];Colômbia
Presentar imagen variable que viene desde mysql en html;50;50;08 de Março de 2023 14:58;['Django', 'MySQL', 'Python', 'HTML'];Equador
Jogo Mobile De Sinuca Estilo 8 Ball Pool com diferencial financeiro;1000;3000;08 de Março de 2023 04:13;['Android', 'API', 'Programação de Games', 'iOS', 'iPhone', 'JavaScript', 'Python', 'Windows 7', 'Design Gráfico', 'Responsive Web Design'];Brasil
Programa em Python - Agenda de clientes sem interface - Trabalho de Faculdade;100;250;08 de Março de 2023 01:39;['Python'];Brasil
Bot para Discord e Twitch;100;250;07 de Março de 2023 22:39;['HTML5', 'MySQL', 'PHP'];Brasil
Criação de interface integrada ao chat Gpt;250;500;07 de Março de 2023 22:23;['C', 'Java', 'Python'];Brasil
Necesito Ivr que haga llamadas;100;250;07 de Março de 2023 08:30;['JavaScript', 'MySQL', 'PHP', 'API', 'HTML', 'Node.js', 'Python', 'Marketing Online', 'Laravel'];República Dominicana
Auxilio Para Um Trabalho De Conclusão De Curso;3000;3000;07 de Março de 2023 00:58;['C', 'Java', 'Python', 'C#', 'HTML', 'JavaScript', 'MySQL', 'PHP', 'Design Gráfico'];Brasil
Bi que compara as informações dos nossos materiais com o ciclo de vida do site do fabricante;250;500;06 de Março de 2023 23:39;['JavaScript', 'MySQL', 'PHP'];Brasil
Banco de dados de apostas esportivas - bet (Python);250;500;06 de Março de 2023 22:50;['Python'];Brasil
Software de escritorio para visualizar cámaras de seguridad;250;500;07 de Março de 2023 03:20;['Python', 'MySQL'];Colômbia
Desenvolvedor Full Stack;1000;3000;06 de Março de 2023 17:58;['JavaScript', 'MySQL', 'PHP'];Brasil
Interpretación de trama de datos de equipo con protocolo serial Rs232;100;250;06 de Março de 2023 21:12;['C++', 'Linux', 'Python'];Colômbia
Desarrollo de una aplicación para la cuantificación de dosis absorbida por usuarios en el servicio de medicina nuclear.;50;100;04 de Março de 2023 21:30;['C', 'Java', 'Python'];Colômbia
Software Para Calcular Leds En Letras Luminosas;250;500;04 de Março de 2023 17:21;['C', 'Java', 'Python', 'MySQL', 'PHP'];México
Desarrollo de mi base de datos Erp;3000;3000;04 de Março de 2023 13:49;['C', 'Java', 'Python'];México
Site com login e geração de relatorio;500;1000;03 de Março de 2023 17:04;['JavaScript', 'MySQL', 'PHP'];Brasil
Criação de aplicação Web em ambiente Aws;100;250;03 de Março de 2023 16:28;['Java', 'Python', 'HTML', 'MySQL'];Brasil
Sistema de busca;250;500;03 de Março de 2023 13:40;['JavaScript', 'MySQL', 'PHP', 'Python'];Brasil
Aplicación Interactiva Para El Reconocimiento De Partes Dem El Cuerpo Humano Aplicando Realidad Aumentada;500;1000;03 de Março de 2023 12:57;['Android', 'API', 'iPhone', 'MySQL', 'PHP', 'Python', 'Responsive Web Design', 'Unity 3D'];Equador
Codificar un algoritmo en quimica computacional llamado Neb (Nudge Elastic Band) en Python;50;50;01 de Março de 2023 23:16;['Python', 'Computação Cientifica', 'Data Science'];México
Ds9 food;1000;3000;01 de Março de 2023 17:33;['C', 'Java', 'Python'];Brasil
Creación de Juego Retro en Excel o Hoja de Calculo de Google;500;1000;01 de Março de 2023 22:40;['JavaScript', 'Microsoft Access', 'Microsoft Sharepoint', 'Python', 'Microsoft Excel', 'Google GSuite', 'Microsoft PowerApps', 'Microsoft Office365'];Colômbia
Procuro Desenvolvedor React.Js;15;15;01 de Março de 2023 17:24;['Python', 'React.js'];Brasil
Azure devops datafactory  and databricks;50;50;01 de Março de 2023 20:06;['Microsoft Azure', 'Python', 'Git', 'DevOps ', 'PySpark'];Equador
Newfrostbyte;500;1000;01 de Março de 2023 19:01;['JavaScript', 'MySQL', 'PHP', 'Python'];Colômbia
Apoyo en localizacion chilena modulo Rrhh Nominas en odoo;100;250;01 de Março de 2023 14:36;['ERP', 'Python', 'Recursos Humanos', 'OpenERP', 'Odoo', 'HTML5', 'MySQL', 'PHP'];Chile
Criação de Api com Python;50;100;27 de Fevereiro de 2023 18:29;['HTML5', 'MySQL', 'PHP'];Brasil
Boot para enviar sinais de jogos de aposta;500;1000;27 de Fevereiro de 2023 17:43;['JavaScript', 'MySQL', 'PHP'];Brasil
Robô de previsão minas;100;250;27 de Fevereiro de 2023 14:42;['JavaScript', 'MySQL', 'PHP'];Brasil
Trading algoritmico;250;500;27 de Fevereiro de 2023 19:44;['API', 'Python'];Venezuela
Web Scraping Centralizado;100;250;27 de Fevereiro de 2023 19:09;['HTML5', 'MySQL', 'PHP', 'API', 'HTML', 'JavaScript', 'Python'];Chile
Projeto de um site de exposiçôes de imagens 360°;500;1000;27 de Fevereiro de 2023 13:50;['JavaScript', 'MySQL', 'PHP'];Brasil
Desenvolvedor Pleno;15;45;27 de Fevereiro de 2023 13:23;['JavaScript', 'MySQL', 'PHP'];Brasil
Facturación Electrónica en colombia;250;500;25 de Fevereiro de 2023 16:34;['Android', 'API', 'iPhone', 'PHP', 'Python', 'Responsive Web Design'];Colômbia
Bot Adb para criar contas de Instagram;250;500;25 de Fevereiro de 2023 04:31;['Android', 'Python'];Brasil
Teams Fluxo de trabalho com aprovações;250;500;24 de Fevereiro de 2023 19:30;['C', 'Java', 'Python'];Brasil
Sistema Gerencial Para Loja Prestadora De Serviços Manutençao;100;250;24 de Fevereiro de 2023 16:27;['C', 'Java', 'Python'];Brasil
Software para academia de ingles;1000;3000;24 de Fevereiro de 2023 20:23;['JavaScript', 'MySQL', 'PHP', 'API', 'CSS', 'HTML', 'Python'];Colômbia
Algoritmos de jogos virtuais (aviator);1000;3000;24 de Fevereiro de 2023 18:08;['JavaScript', 'PHP', 'API', 'CSS', 'HTML', 'HTML5', 'Python', 'WordPress', 'Responsive Web Design', 'Programação de Redes'];Moçambique
Alterações visuais em programa python;100;250;24 de Fevereiro de 2023 07:39;['Python'];Brasil
Personalización de módulo;1000;3000;23 de Fevereiro de 2023 17:21;['Python', 'Odoo'];México
Aplicación web con firebase;100;250;23 de Fevereiro de 2023 16:20;['JavaScript', 'MySQL', 'PHP', 'CSS', 'HTML', 'Python', 'Firebase'];Panamá
Desarrollos Odoo, Versión Enterprise y Community;15;45;23 de Fevereiro de 2023 09:47;['JavaScript', 'MySQL', 'PHP', 'HTML', 'Python', 'WordPress'];Espanha
Sistema Web para Revenda de Veículos;1000;3000;23 de Fevereiro de 2023 01:21;['JavaScript', 'MySQL', 'PHP', 'API', 'CSS', 'Django', 'HTML', 'Python', 'Responsive Web Design'];Brasil
Bot para telegram;100;250;23 de Fevereiro de 2023 01:01;['JavaScript', 'MySQL', 'PHP', 'Python'];Brasil
Segmentation Fault após migrar código C+ (Arch32 to Arch64);100;250;22 de Fevereiro de 2023 22:45;['C++', 'Python', 'Arquitetura'];Brasil
Aplicación de escritorio para la realización de unas cifras de servicios públicos;100;250;23 de Fevereiro de 2023 01:33;['C', 'Java', 'Python', 'C#', 'HTML', 'JavaScript', 'MySQL', 'PHP', 'Design Gráfico'];Colômbia
Sistema de gerenciamento de resíduos com Api para blockchain da Polygon;15;45;21 de Fevereiro de 2023 15:55;['JavaScript', 'MySQL', 'PHP', 'API', 'Python', 'Responsive Web Design'];Brasil
Atualizar uma automação criada em Python;100;250;21 de Fevereiro de 2023 14:50;['Programação de Redes', 'Aptidão de programação', 'Python', 'JavaScript', 'MySQL', 'PHP'];Brasil
Desarrollador Flutter;500;1000;21 de Fevereiro de 2023 20:02;['Android', 'iOS', 'iPhone', 'Python', 'Responsive Web Design', 'Flutter'];Uruguai
Programar Ai con para inmobiliaria;1000;3000;21 de Fevereiro de 2023 19:54;['HTML5', 'MySQL', 'PHP', 'API', 'Python'];Espanha
Urgente - Procuro especialista em click up para implementação;250;500;21 de Fevereiro de 2023 14:38;['C', 'Java', 'Python'];Brasil
Modificación a sistema Django existente;250;500;21 de Fevereiro de 2023 16:59;['JavaScript', 'Django', 'Python', 'Responsive Web Design'];México
Sistema de control de archivos (web/escritorio);1000;3000;21 de Fevereiro de 2023 16:56;['JavaScript', 'MySQL', 'Django', 'PostgresSQL', 'Python', 'Responsive Web Design'];México
Computer Vision. Phyton. Opencv.Mysql;1000;3000;17 de Fevereiro de 2023 22:39;['MySQL', 'PHP', 'Python', 'OpenCV', 'Tensorflow'];Argentina
Integração com a Api do fornecedor;250;500;17 de Fevereiro de 2023 14:32;['MySQL', 'Python'];Brasil
Desenvolvimento Backend;15;15;17 de Fevereiro de 2023 13:52;['MySQL', 'Python', 'Redis', 'RabbitMQ'];Brasil
Aplicativo buscando o preenchimento de documentos de forma automatizada conforme assunto, sexo, cidade, posicionamento dos tribunais.;250;500;17 de Fevereiro de 2023 12:27;['C', 'Java', 'Python'];Brasil
Modulo Para Encaixe De Produtos Em Caixas De Papelao Ou Melhor Chamado Embalagens;250;500;17 de Fevereiro de 2023 11:46;['CSS', 'HTML', 'Responsive Web Design', 'HTML5', 'JavaScript', 'MySQL', 'PHP', 'Python', 'WordPress', 'Lojas Virtuais (e-commerce)'];Brasil
Extração de dados com python. Preciso extrair o nome de empresas com espaço correto a partir do site da empresa.;100;250;17 de Fevereiro de 2023 10:29;['Python', 'Web Scraping'];Brasil
Desarrollo de portal cautivo;50;100;17 de Fevereiro de 2023 14:50;['PHP', 'CSS', 'HTML', 'Python', 'WordPress'];Colômbia
Desenvolver uma Ia para reconhecimento;500;1000;16 de Fevereiro de 2023 12:02;['JavaScript', 'MySQL', 'PHP', 'Python'];Brasil
Criação De Sistema Para Permitir Ou Negar o Uso Da Nossa Extensão Do Google Chrome;1000;3000;16 de Fevereiro de 2023 08:17;['JavaScript', 'MySQL', 'PHP', 'CSS', 'HTML', 'Java', 'Node.js', 'Python'];Brasil
Página similar a God in a Box;250;500;16 de Fevereiro de 2023 11:44;['JavaScript', 'MySQL', 'API', 'CSS', 'HTML5', 'Python', 'Responsive Web Design'];Paraguai
Altered beast con Unity 2d;1000;3000;16 de Fevereiro de 2023 07:46;['C', 'Java', 'Python'];Espanha
Fazer Robô da Blaze;250;500;16 de Fevereiro de 2023 01:53;['Android', 'API', 'HTML', 'iOS', 'iPhone', 'JavaScript', 'MySQL', 'PHP', 'Python', 'Responsive Web Design'];Brasil
Flujos de trabajos;100;250;16 de Fevereiro de 2023 05:42;['JavaScript', 'MySQL', 'PHP', 'CSS', 'Django', 'HTML', 'PostgresSQL', 'Python'];México
Plantillas de documentos;100;250;16 de Fevereiro de 2023 05:28;['JavaScript', 'MySQL', 'PHP', 'API', 'CSS', 'Django', 'HTML', 'HTML5', 'Python', 'Responsive Web Design'];México
Crear un módulo para usar la Api de Mailerlite con Odoo;50;50;14 de Fevereiro de 2023 20:19;['JavaScript', 'MySQL', 'Python', 'Odoo'];Honduras
Projeto Com Realidade Virtual E Gamificação;500;1000;14 de Fevereiro de 2023 14:42;['JavaScript', 'API', 'C#', 'C++', 'Objective-C', 'Python'];Brasil
Odds de apostas esportivas;15;45;14 de Fevereiro de 2023 13:54;['JavaScript', 'MySQL', 'PHP', 'Python'];Brasil
Webapp desarrollada sobre Aws y enfocada en Discord user data;100;250;14 de Fevereiro de 2023 18:40;['HTML5', 'MySQL', 'PHP', 'Amazon Web Services', 'API', 'Python'];Uruguai
Script para subir videos. Only Spanish. Solo Español;100;250;14 de Fevereiro de 2023 18:18;['C', 'Java', 'Python'];Argentina
Curso de inglês Online;500;1000;14 de Fevereiro de 2023 11:09;['Python', 'React.js', 'React Native', 'Machine Learning'];Brasil
Procesamiento log json;50;50;14 de Fevereiro de 2023 16:04;['JSON', 'Python'];Espanha
Software que detecte: Agachamento, Pulo e Movimento lateral;250;500;12 de Fevereiro de 2023 18:57;['C', 'Java', 'Python', 'C#', 'OpenCV'];Brasil
Tela de login, compilação de scripts Pyhton  para linux;100;250;12 de Fevereiro de 2023 15:16;['MySQL', 'Linux', 'Python'];Brasil
App para android e Ios;250;500;11 de Fevereiro de 2023 13:39;['Android', 'API', 'iOS', 'iPhone', 'JavaScript', 'MySQL', 'Python', 'Responsive Web Design'];Brasil
Tela Cadastro de Produtos;1000;3000;11 de Fevereiro de 2023 06:00;['C', 'Java', 'Python', 'C#', 'MySQL', 'PHP', 'JavaScript'];Brasil
Procuro programador especialista em Ti para Apoiar Interface sistema e plataforma para hospedar pesquisa /questionario Grande Alcance;250;500;11 de Fevereiro de 2023 00:33;['JavaScript', 'MySQL', 'PHP', 'Python'];Brasil
Migracion a web de un soft de escritorio;250;500;10 de Fevereiro de 2023 22:21;['JavaScript', 'MySQL', 'PHP', 'Python'];Argentina
Sistemas de Ventas;50;50;10 de Fevereiro de 2023 21:07;['Python'];Venezuela
Trabalhos Academicos Analise e Desenvolvimento de Sistemas;50;100;08 de Fevereiro de 2023 19:24;['HTML5', 'MySQL', 'PHP', 'Python'];Brasil
Access - Base de datos para facturar servicios por hora de maquinaria pesada;15;45;09 de Fevereiro de 2023 00:28;['C', 'Java', 'Python', 'MySQL'];México
Aplicativos;250;500;08 de Fevereiro de 2023 19:01;['C', 'Java', 'Python'];Brasil
Desenvolvimento Software para gestão de energia;3000;3000;08 de Fevereiro de 2023 18:18;['HTML5', 'MySQL', 'PHP', 'API', 'JavaScript', 'Node.js', 'Python', 'Responsive Web Design', 'React.js'];Brasil
Procura-Se Dev Python para troca de ideias sobre um código de automação;100;250;08 de Fevereiro de 2023 16:17;['JavaScript', 'API', 'Python'];Brasil
Programa de faturação;1000;3000;08 de Fevereiro de 2023 21:05;['C', 'Java', 'Python', 'C#', 'HTML', 'JavaScript', 'MySQL', 'PHP', 'Design Gráfico'];Angola
Bot de automação;50;100;08 de Fevereiro de 2023 13:30;['HTML5', 'MySQL', 'PHP', 'Python'];Brasil
Creación de múltiples cuenta de Facebook a través de Correo Electrónico;50;100;07 de Fevereiro de 2023 13:25;['Android', 'API', 'HTML', 'iOS', 'iPhone', 'JavaScript', 'MySQL', 'PHP', 'Python', 'Responsive Web Design', 'Design de App Mobile'];Uruguai
Algoritmo de otimização para transporte escolar;1000;3000;07 de Fevereiro de 2023 00:02;['JavaScript', 'PHP', 'API', 'Python'];Brasil
Programa Automatico Para O Site Sproutgigs;1000;3000;06 de Fevereiro de 2023 05:07;['C', 'Java', 'Python', 'C#', 'JavaScript'];Brasil
Bet365 - Futebol Virtual;250;500;05 de Fevereiro de 2023 17:08;['JavaScript', 'MySQL', 'PHP', 'Node.js', 'PostgresSQL', 'Python', 'Selenium'];Brasil
Programa para rellenar formularios web;100;250;05 de Fevereiro de 2023 20:21;['C', 'Java', 'Python'];Espanha
Scrapy to capture website data and organize in Excel;50;100;04 de Fevereiro de 2023 23:31;['Python', 'Web Scraping'];Brasil
Criar um webapp chatbo para whatsapp;250;500;04 de Fevereiro de 2023 18:12;['C', 'Java', 'Python', 'HTML', 'JavaScript'];Brasil
Integração de modelo de linguagem Opemai;250;500;02 de Fevereiro de 2023 12:40;['JavaScript', 'MySQL', 'PHP', 'API', 'C++', 'Java', 'Python', 'Inteligência artificial', 'E-learning', 'Machine Learning'];Brasil
Culminación de Aplicación Web en Python;15;45;02 de Fevereiro de 2023 17:32;['JavaScript', 'MySQL', 'PHP', 'Amazon Web Services', 'Python', 'React.js'];Colômbia
Culminación de Aplicación Web en Python;15;45;02 de Fevereiro de 2023 16:10;['JavaScript', 'MySQL', 'PHP', 'Python', 'React.js'];Colômbia
Programa para entradas automática em site de apostas;100;250;02 de Fevereiro de 2023 04:39;['C#', 'C++', 'CSS', 'HTML', 'Java', 'JavaScript', 'MySQL', 'PHP', 'Python'];Brasil
Programa para entradas automática em site de apostas;500;1000;02 de Fevereiro de 2023 00:39;['JavaScript', 'MySQL', 'PHP', 'C#', 'C++', 'CSS', 'HTML', 'Java', 'Python'];Brasil
Automatizar criação de vídeos em um site que cria vídeos por templates.;100;250;01 de Fevereiro de 2023 21:40;['Python', 'Web Scraping'];Brasil
Alterações em um app em desenvolvimento 90% concluído, app feito em react native Typescript. necessário conhecimentos em backend Django e implementações de api;500;1000;01 de Fevereiro de 2023 21:26;['Android', 'iPhone', 'Python', 'Responsive Web Design', 'Design de App Mobile', 'React Native', 'Typescript'];Brasil
Software Municipal;1000;3000;31 de Janeiro de 2023 02:34;['C', 'Java', 'Python', 'HTML', 'Design Gráfico'];Brasil
Criação de instagram automaticas;100;250;31 de Janeiro de 2023 01:02;['JavaScript', 'MySQL', 'PHP', 'API', 'Python'];Brasil
Integração com instagram;100;250;31 de Janeiro de 2023 00:57;['Python'];Brasil
Judx rede de informação legal Brasil Angola Portugal;15;15;30 de Janeiro de 2023 22:53;['API', 'CSS', 'HTML', 'JavaScript', 'MySQL', 'PHP', 'Python', 'WordPress', 'Responsive Web Design'];Brasil
Lanzador de navegadores de chorme con lista de usuario y proxies.;100;250;31 de Janeiro de 2023 00:58;['C', 'Java', 'Python'];México
Multiples perfiles de Chrome con un proxy cada uno;100;250;30 de Janeiro de 2023 23:52;['C', 'Java', 'Python', 'HTML', 'JavaScript'];México
Criação de uma animação para substituir uma barra de progresso;250;500;30 de Janeiro de 2023 18:19;['CSS', 'HTML', 'Responsive Web Design', 'API', 'HTML5', 'JavaScript', 'Python'];Brasil
Pagina web de subscripcion;250;500;29 de Janeiro de 2023 16:13;['CSS', 'HTML', 'Responsive Web Design', 'HTML5', 'JavaScript', 'Python', 'WordPress'];Espanha
App mobil de notificaciones;100;250;29 de Janeiro de 2023 16:10;['Android', 'iOS', 'iPhone', 'JavaScript', 'Python', 'Responsive Web Design'];Espanha
Criar um indicador para Profitchart;100;250;29 de Janeiro de 2023 03:40;['JavaScript', 'MySQL', 'PHP', 'Node.js', 'Python', 'React.js'];Brasil
Instalação do Izing em Vps;250;500;28 de Janeiro de 2023 22:13;['API', 'Node.js', 'Aptidão de programação', 'Python'];Brasil
Criação de Treinamentos Para Analise Dados.;100;250;28 de Janeiro de 2023 21:56;['Aptidão de programação', 'Python', 'Escrita Acadêmica', 'Escrita de artigos', 'Escrita criativa', 'Microsoft PowerPoint', 'Escrever', 'Data Science', 'Canva'];Brasil
