titulo;valorMin;valorMax;data;skill;pais
Php Back end - Ler aquivo .csv e .txt e salvar os dados no banco de dados;250;500;22 de Novembro de 2022 22:31;['MySQL', 'PHP', 'PostgresSQL', 'SQL'];Brasil
Experto en Softland;100;250;21 de Novembro de 2022 13:18;['Crystal Reports', 'SQL', 'SQL Server', 'Microsoft Windows Server'];Chile
Estudo De Caso - Banco De Dados;100;250;18 de Novembro de 2022 11:17;['MySQL', 'Modelagem de Dados', 'SQL'];Brasil
Requiero experto en Sql - Sqlserver 2019;100;250;11 de Outubro de 2022 21:23;['SQL', 'SQL Server'];Colômbia
Recompensa/tarefa por curtir, assistir e compartilhar conteúdo nas mídias sociais;100;250;11 de Outubro de 2022 13:41;['MySQL', 'PHP', 'SQL'];Brasil
Programa simples em c#;100;250;06 de Outubro de 2022 18:37;['C#', 'SQL'];Brasil
Necesito hacer cambios en un Sp que tiene dependencia de otros Sp y funciones de Sql;50;100;06 de Outubro de 2022 14:47;['SQL', 'SQL Server'];México
Criação de Estrutura de Business Intelligence;1000;3000;06 de Outubro de 2022 13:21;['OLAP', 'Oracle PL/SQL', 'SQL', 'Extract Transform Load (ETL)'];Brasil
Continuar con sistema de reservas en Java y Swing;250;500;30 de Setembro de 2022 11:21;['C', 'Java', 'MySQL', 'SQL'];Argentina
Programador Php;250;500;29 de Setembro de 2022 18:02;['HTML', 'JavaScript', 'MySQL', 'PHP', 'SQL', 'Bootstrap', 'CodeIgniter', 'WordPress', 'Responsive Web Design'];Brasil
Proyecto plataforma web con .net core + Angular + Sql + Capacitación;250;500;05 de Setembro de 2022 01:03;['API', 'SQL', '.Net Core', 'Angular 9'];Argentina
Plataforma de mantenimiento predictivo para garantizar el funcionamiento de las máquinas que suministran energía a los procesos críticos de producción;50;100;02 de Setembro de 2022 15:22;['Python', 'SQL', 'Power BI'];Colômbia
Criar Script Simples;15;15;29 de Agosto de 2022 16:42;['SQL'];Brasil
Plataforma de influenciadores;15;45;26 de Agosto de 2022 21:49;['C#', 'CSS', 'HTML', 'SQL', 'Bootstrap', 'MVC', '.Net Core'];Brasil
Bot de Telegram -  postagens de novos videos e Preços de Placas;250;500;21 de Agosto de 2022 14:03;['API', 'Python', 'SQL'];Brasil
Sistema Web para Apontamento de Os;500;1000;21 de Agosto de 2022 02:00;['JavaScript', 'MySQL', 'PHP', 'Python', 'SQL', 'Responsive Web Design', 'React.js'];Brasil
Diseño de e-commerce B2b / Marketplace con uso de herramienta Bubble.io;1000;3000;19 de Agosto de 2022 13:32;['SQL', 'MongoDB'];Argentina
Desarrollo de Módulo de Contabilidad para Odoo Comunity y Módulo de Facturación (Sistema de Facturación Electrónica) (Bolivia);100;250;04 de Julho de 2022 20:46;['PHP', 'CSS', 'HTML', 'PostgresSQL', 'Python', 'XML', 'Odoo', 'SQL'];Bolívia
Manutenção e ajustes em Ssis (Sql Server Integration Services);100;250;04 de Julho de 2022 20:44;['SQL', 'SQL Server'];Brasil
Encerrar um site que esta no final;100;250;02 de Julho de 2022 19:47;['JavaScript', 'MySQL', 'PHP', 'SQL', 'WordPress'];Brasil
Terminar um site - leia a descrição;100;250;02 de Julho de 2022 00:38;['PHP', 'FTP', 'SQL'];Brasil
Mejoras a Sistema Comercial Inmobiliario;1000;3000;30 de Junho de 2022 16:26;['.NET', 'C#', 'CSS', 'HTML', 'JavaScript', 'SQL', 'SQL Server'];Chile
Mentor en Sql o React;500;1000;30 de Junho de 2022 01:55;['MySQL', 'SQL', 'React.js', 'React Native'];Argentina
Desenvolvedor Ios;15;45;24 de Junho de 2022 17:10;['iOS', 'SQL', 'MVC', 'Swift', 'JavaScript', 'MySQL', 'PHP'];Brasil
Manutenção e Desenvolvimento de Banco de Dados (já existente);250;500;20 de Maio de 2022 14:36;['HTML', 'Linux', 'MySQL', 'PHP', 'SQL'];Brasil
Google Analyst. Data engineering and statistics. Google Cloud Analys;50;100;18 de Maio de 2022 13:12;['Google App Engine', 'MySQL', 'SQL', 'Google Cloud Platform', 'Big Data', 'Data Science'];Equador
Dba para automatizar respaldo en Sqlserver 2016 hacia S3 Aws y Recuperación de S3 a sql server  2016;100;250;17 de Maio de 2022 19:20;['Amazon Web Services', 'SQL', 'SQL Server'];Chile
Desenvolmento de site em .Net Core;500;1000;14 de Maio de 2022 13:09;['JavaScript', 'API', 'SQL', '.Net Core'];Brasil
Implementación contabilidad electrónica en Intelisis;250;500;13 de Maio de 2022 16:47;['C#', 'SQL'];México
Instructor Sql Server;500;1000;12 de Maio de 2022 20:19;['Database', 'MySQL', 'SQL', 'SQL Server'];México
Tótem auto-atención;500;1000;11 de Maio de 2022 20:21;['Java', 'Python', 'C#', 'MySQL', 'SQL', 'Arduino'];Chile
Consultas en Google Cloud Sql;15;15;21 de Abril de 2022 14:45;['JavaScript', 'MySQL', 'PHP', 'SQL', 'Google Cloud Platform'];Colômbia
Se busca Experto en Vtiger 7.2.0;50;100;21 de Abril de 2022 12:56;['JavaScript', 'MySQL', 'PHP', 'Smarty', 'SQL'];Peru
Higg_pix;250;500;20 de Abril de 2022 21:01;['JavaScript', 'API', 'ASPNET', 'C#', 'SQL', 'VB.NET', 'MySQL', 'PHP'];Brasil
Dashboard en Powerbi;500;1000;19 de Abril de 2022 16:11;['MySQL', 'PostgresSQL', 'SQL', 'Power BI'];Colômbia
Consultas Sql y Reportes Excel;50;100;19 de Abril de 2022 01:00;['MySQL', 'PHP', 'SQL', 'Microsoft Excel'];Argentina
Looking for C# Developers with experience in C# Win Forms, Sql and Ssrs Reports;15;15;18 de Abril de 2022 02:18;['C#', 'SQL', 'SQL Server', 'Redação de relatórios'];Cingapura
Creacion y actualizacion de dataset a partir de scrapping website;50;100;13 de Abril de 2022 15:17;['Database', 'Python', 'SQL'];Argentina
Sistema de Control y Gestión ambulancias;1000;3000;09 de Março de 2022 18:23;['JavaScript', '.NET', 'API', 'CSS', 'HTML', 'SQL', 'MVC'];Chile
Aplicativo para desktop Erp;15;15;07 de Março de 2022 15:48;['Java', 'API', 'Eclipse', 'JavaScript', 'JSON', 'Struts', 'C', 'Python', 'SQL'];Brasil
Configuração Sql Google Cloud Plataform;100;250;02 de Março de 2022 18:02;['SQL', 'Google Cloud Platform', 'Data Science', 'Extract Transform Load (ETL)'];Estados Unidos
Serviço de notificação angular e Mssql;100;250;02 de Março de 2022 11:32;['CSS', 'Responsive Web Design', 'API', 'HTML5', 'Java', 'JavaScript', 'SQL', 'React.js', 'Microservices', 'Spring Boot'];Brasil
Soporte y Programación media en Sql Server y Mysql;500;1000;28 de Fevereiro de 2022 15:43;['MySQL', 'C++', 'SQL', 'SQL Server'];México
Integração entre Sistema de Gestão Acadêmica e Sistema de Controle de Acesso;100;250;24 de Fevereiro de 2022 21:34;['API', 'SQL'];Brasil
Criação de Banco de Dados Sql;100;250;17 de Fevereiro de 2022 18:03;['SQL'];Brasil
Exame sql;100;250;14 de Janeiro de 2022 01:01;['SQL', 'SQL Server'];Portugal
Insertar imagen en Word con vb .net;50;50;10 de Janeiro de 2022 18:45;['SQL', 'VB.NET', 'Desenvolvimento Web'];México
Gerenciar acessos Git;250;500;10 de Janeiro de 2022 17:42;['Python', 'SQL', 'Microsoft Excel', 'Git', 'Shell Scripting'];Brasil
Desenvolvimento Mobile - Firemonkey;250;500;04 de Janeiro de 2022 20:17;['API', 'Delphi', 'SQL', 'Responsive Web Design'];Brasil
Automatización de proceso;50;100;04 de Janeiro de 2022 02:58;['MySQL', 'Microsoft Sharepoint', 'SQL', 'Microsoft Excel', 'Microsoft PowerApps'];Colômbia
Requiero de alguien experto en Qa Tester (Proyecto Web);250;500;31 de Dezembro de 2021 07:48;['HTML5', 'MySQL', 'PHP', 'API', 'CSS', 'HTML', 'JavaScript', 'SQL', 'Responsive Web Design', 'Vue.js'];México
Full Stack - Python;3000;3000;27 de Dezembro de 2021 19:23;['JavaScript', 'MySQL', 'Amazon Web Services', 'Microsoft Azure', 'Oracle DBA', 'Python', 'SQL', 'AngularJS', 'Inglês', 'React.js'];México
Mentor/a Java Ssr/Sr;15;45;23 de Novembro de 2021 14:38;['Java', 'SQL'];Argentina
Postgresql Developer / Database Developer with 5+ years of experience;15;45;18 de Novembro de 2021 18:11;['HTML5', 'MySQL', 'PHP', 'JSON', 'Oracle PL/SQL', 'PostgresSQL', 'SQL'];India
Data analytics;3000;3000;18 de Novembro de 2021 12:46;['C++', 'Microsoft Azure', 'Microsoft Sharepoint', 'Python', 'SQL', 'Power BI', 'Microsoft PowerApps'];Argentina
Experto En Salesforce Marketing Cloud;15;45;16 de Novembro de 2021 18:34;['Marketing Online', 'Marketing', 'Salesforcecom', 'SQL'];Espanha
Need a developer highly skilled in .Net Core, Vb.Net, Xamarin and Sql.;15;45;11 de Novembro de 2021 22:29;['API', 'C#', 'SQL', 'Xamarin', 'JavaScript', 'VB.NET', '.Net Core', 'CSS', 'MySQL', 'PHP'];Estados Unidos
Proyecto para el sector educativo. Java, spring boot, Sql;15;45;11 de Novembro de 2021 19:17;['Java', 'SQL', 'Spring Boot', 'MySQL'];Argentina
Menú en Vfp9 que llame a Submenu y Reportes;50;50;10 de Novembro de 2021 22:29;['FoxPro', 'SQL', 'SQL Server'];Argentina
Mejora de Web en Php;500;1000;20 de Outubro de 2021 15:13;['JavaScript', 'PHP', 'CSS', 'HTML', 'SQL'];Uruguai
Modificación  Sistema;250;500;19 de Outubro de 2021 17:46;['C#', 'SQL', 'SQL Server', 'Visual Basic'];Peru
Extractor de productos prime en amazon y publicar en mercado libre;100;250;16 de Outubro de 2021 14:04;['PHP', 'WordPress', 'Analytics', 'Responsive Web Design', 'Lojas Virtuais (e-commerce)', 'SEO', 'Facebook Ads', 'SQL'];México
Data Engineering - Google Cloud;50;100;15 de Outubro de 2021 14:35;['Amazon Web Services', 'Python', 'SQL', 'Google Cloud Platform', 'Docker'];Argentina
Punto de venta en dispositivos moviles;100;250;13 de Outubro de 2021 23:03;['Android', 'HTML', 'HTML5', 'iPhone', 'Node.js', 'SQL', 'Responsive Web Design'];México
Projecto em flask com visualizações dinâmicas;15;45;12 de Outubro de 2021 22:10;['JavaScript', 'API', 'HTML', 'HTML5', 'SQL', 'Responsive Web Design'];Portugal
Manutenção sistema Php;100;250;12 de Outubro de 2021 15:11;['JavaScript', 'MySQL', 'PHP', 'HTML', 'jQuery', 'SQL', 'Git'];Brasil
Crear una waitlist (lista de espera) con Oauth 2.0 de Google;50;50;15 de Setembro de 2021 15:29;['JavaScript', 'MySQL', 'PHP', 'API', 'CSS', 'HTML', 'HTML5', 'React.js', 'SQL', 'Gestão de registros'];Venezuela
Aplicativo Cambiario y Financiero Power Platform;100;250;14 de Setembro de 2021 23:40;['Microsoft Sharepoint', 'Desenvolvimento Web', 'Power BI', 'Microsoft PowerApps', 'SQL'];Colômbia
Modificações em aplicativos em flutter;250;500;14 de Setembro de 2021 18:07;['Android', 'iOS', 'iPhone', 'MySQL', 'SQL', 'Responsive Web Design'];Brasil
Data Engineer w/ Etl Latam;15;45;07 de Setembro de 2021 16:02;['Data Warehousing', 'Database', 'SQL', 'Extract Transform Load (ETL)'];Venezuela
Criar Dashboard powerbi a partir de xmls em um banco de dados;50;100;31 de Agosto de 2021 16:47;['MySQL', 'SQL', 'Power BI'];Brasil
Desenvolvimento de Software de Controle;250;500;28 de Agosto de 2021 09:38;['JavaScript', 'MySQL', 'PHP', 'API', 'Java', 'Python', 'SQL', 'SQL Server'];Brasil
We are hiring Java senior developer as coach for our 2-month coding bootcamp;15;45;26 de Agosto de 2021 23:25;['MySQL', 'API', 'Java', 'SQL', 'Git', 'Spring Framework', 'Spring Security', 'Apache Maven', 'RabbitMQ', 'Spring Boot'];Malásia
Dashboard Logistica;1000;3000;27 de Julho de 2021 13:45;['SQL'];Brasil
Necesito hacer un programa que imprima unos reportes de sql;50;100;23 de Julho de 2021 16:36;['PHP', 'SQL', 'SQL Server'];República Dominicana
Desarrolladores en Odoo;500;1000;22 de Julho de 2021 15:50;['HTML5', 'MySQL', 'PHP', 'CSS', 'HTML', 'PostgresSQL', 'Python', 'SQL'];Colômbia
Desenvolvimento de Painéis em Powerbi;100;250;22 de Julho de 2021 13:27;['SQL', 'SQL Server', 'Power BI'];Brasil
Desarrollo Base de Datos;50;50;21 de Julho de 2021 17:51;['MySQL', 'SQL', 'SQL Server'];Chile
Sistema web + Apis;500;1000;19 de Julho de 2021 17:23;['JavaScript', 'API', 'CSS', 'HTML', 'HTML5', 'SQL', 'Responsive Web Design', 'JSON', 'PHP'];Brasil
Banco de Dados para informações geradas no Excel;50;100;15 de Julho de 2021 02:52;['SQL', 'SQL Server', 'Microsoft Excel', 'MySQL'];Brasil
Customer Relationship Manager;45;45;15 de Junho de 2021 02:03;['Facebook', 'Marketing Online', 'Marketing', 'SQL', 'Google AdWords', 'Google Analytics', 'Microsoft Office'];Austrália
Desenvolvedor Full Stack;1000;3000;14 de Junho de 2021 12:54;['PostgresSQL', 'Python', 'SQL', 'React.js'];Brasil
Java Backend Developer : Philippines, Malaysia or Indonesia;15;15;11 de Junho de 2021 14:54;['Java', 'SQL', 'Spring Framework', 'JavaScript', 'MySQL', 'PHP'];Polônia
Backend Developer;50;50;10 de Junho de 2021 16:24;['JavaScript', 'MySQL', 'PHP', 'Java', 'Node.js', 'Python', 'SQL', 'Typescript'];Argentina
2 Azure Engineers;45;45;09 de Junho de 2021 22:55;['PHP', 'API', 'Cisco', 'HTML', 'JavaScript', 'Microsoft Azure', 'Microsoft Visual Studio', 'SQL', 'HTML5', 'MySQL'];Peru
Marketplace multivendedor con codigo unico;250;500;08 de Junho de 2021 16:10;['CSS', 'HTML', 'JavaScript', 'JSON', 'MySQL', 'PHP', 'SQL', 'Laravel'];Equador
Buscamos desarrolladores Java/Java Ee;3000;3000;07 de Junho de 2021 14:59;['MySQL', 'SQL'];Argentina
Seleccionaremos Ingeniero De Datos Para Importante Empresa De Salud De Curitiba Brasil;45;45;05 de Maio de 2021 19:37;['Microsoft Azure', 'Python', 'SQL', 'Git', 'Google Cloud Platform'];Argentina
Desenvolvimento de integracoes;15;15;04 de Maio de 2021 15:09;['JavaScript', 'API', 'Java', 'JSON', 'PostgresSQL', 'SQL'];Brasil
Desenvolvedor bakcend python para sistema web na área financeira;1000;3000;03 de Maio de 2021 22:30;['JavaScript', 'API', 'Python', 'SQL', 'Git'];Brasil
Urgente! Debug Advpl (Protheus);50;100;30 de Abril de 2021 15:29;['HTML5', 'ERP', 'SQL', 'SQL Server'];Brasil
Criar 3 banco de dados no Bigquery + 1 script de atualização de cartões no Trello;500;1000;29 de Abril de 2021 18:01;['API', 'Database', 'SQL'];Brasil
Desarrollo en React con .net;500;1000;26 de Abril de 2021 15:47;['JavaScript', '.NET', 'SQL', 'React.js', 'React Native'];México
Desarrollo de tableros de control en Sql (redash);50;50;21 de Abril de 2021 23:04;['Oracle', 'SQL', 'Análise de Negócios', 'Inteligência empresarial'];Argentina
Questor - contabil e Fiscal - interface;250;500;10 de Março de 2021 17:34;['SQL', 'Firebird'];Brasil
Programador para ajustar e finalizar website;1000;3000;10 de Março de 2021 15:47;['JavaScript', 'Node.js', 'SQL', 'Responsive Web Design', 'React.js'];Brasil
Consultoría en Ibm Spss Statistics y Modeler;15;45;10 de Março de 2021 15:21;['Database', 'SQL', 'Extract Transform Load (ETL)', 'Modelagem de Dados', 'Estatística', 'SPSS'];Colômbia
Desenvolvimento de micro-serviços com Php;45;45;09 de Março de 2021 19:56;['MySQL', 'PHP', 'API', 'HTML', 'Laravel', 'Apache', 'Linux', 'SQL'];Brasil
Portal Web Corporativo.;250;500;09 de Março de 2021 03:35;['CSS', 'HTML', 'PHP', 'SQL', 'WordPress', 'Design Gráfico', 'Responsive Web Design', 'Web Design'];Porto Rico
Construção de sistema de migração de banco de dados de sistema contabil;15;45;08 de Março de 2021 14:31;['JavaScript', 'MySQL', 'Python', 'SQL'];Brasil
Experto Modelos Analíticos;45;45;08 de Março de 2021 12:04;['Python', 'SQL'];Argentina
Programación de site en codeigniter;250;500;19 de Fevereiro de 2021 13:06;['JavaScript', 'MySQL', 'CodeIgniter', 'SQL', 'Responsive Web Design', 'React.js'];Argentina
Processo de Carga de Dados de Arquivo Texto para Tabela no Google Bigquery;50;100;18 de Fevereiro de 2021 20:16;['JSON', 'SQL', 'Google Cloud Platform', 'Big Data'];Brasil
Ajuste de software;250;500;12 de Fevereiro de 2021 13:49;['MySQL', 'HTML', 'Oracle MySQL', 'Python', 'SQL'];Brasil
Implantar sistema de orçamentario em Vba e Sql;500;1000;12 de Fevereiro de 2021 03:30;['JavaScript', 'MySQL', 'PHP', 'SQL', 'VBA', 'Power BI'];Brasil
Desenvolvimento de site de serviço de Rh;500;1000;11 de Fevereiro de 2021 17:47;['JavaScript', 'C#', 'CSS', 'HTML', 'HTML5', 'SQL'];Brasil
Ajuste .;100;250;11 de Fevereiro de 2021 14:35;['MySQL', 'Django', 'HTML', 'Python', 'SQL'];Brasil
Desarrollador de Android Junior para Startup;50;100;10 de Fevereiro de 2021 16:57;['Android', 'API', 'iPhone', 'Java', 'SQL', 'Responsive Web Design', 'UX Writing'];Argentina
Desarrollador certificado en Azure con nivel Arquitecto;45;45;15 de Janeiro de 2021 23:17;['API', 'Microsoft Azure', 'SQL', 'AngularJS', 'MVC', 'C#'];México
Requiero una persona con las habilidades de sql;50;100;14 de Janeiro de 2021 15:15;['HTML5', 'MySQL', 'PHP', 'SQL', 'SQL Lite', 'SQL Server'];Bolívia
40 hs. para modificacion App Web - Asp.Net Mvc C# Font Vue.js;250;500;12 de Janeiro de 2021 20:46;['.NET', 'ASPNET', 'C#', 'JavaScript', 'SQL', 'Vue.js', 'API'];Argentina
Desarrollo en tienda vtex e integracion Erp Sql en plataforma vtex;1000;3000;12 de Janeiro de 2021 01:23;['SQL', 'Lojas Virtuais (e-commerce)'];Panamá
Desarrollo de un simulador para aplicación móvil a nivel académico.;50;50;08 de Janeiro de 2021 15:46;['Android', 'API', 'iPhone', 'JavaScript', 'SQL', 'Responsive Web Design'];Peru
Desenvolvimento De Erp;1000;3000;07 de Janeiro de 2021 06:23;['JavaScript', 'MySQL', 'PHP', 'API', 'SQL', 'Contabilidade', 'Desenvolvimento Web', 'Big Data', 'Power BI'];Brasil
Preciso de ajuda para criar um projeto de Análise de Dados, Big Data para meu currículo;15;15;06 de Janeiro de 2021 00:35;['JavaScript', 'MySQL', 'PHP', 'Python', 'SQL', 'MongoDB', 'Big Data'];Brasil
Sistema de Coleta e Validação de Dados em ambiente online/web;1000;3000;26 de Novembro de 2020 13:53;['JavaScript', 'MySQL', 'PHP', 'HTML', 'HTML5', 'Python', 'SQL', 'Desenvolvimento Web'];Brasil
Consultor programador en Blockchain;100;250;18 de Novembro de 2020 14:56;['.NET', 'AJAX', 'C#', 'C++', 'JavaScript', 'Microsoft Visual Studio', 'Node.js', 'SQL', 'SQL Server', 'MVC'];Estados Unidos
Relatórios Devexpress;500;1000;10 de Novembro de 2020 19:38;['HTML5', 'MySQL', 'SQL'];Brasil
Generar consultas en sql;15;15;08 de Novembro de 2020 20:45;['SQL'];Chile
Generar consultas en sql;50;50;08 de Novembro de 2020 19:22;['SQL'];Chile
Desenvolvimento de Site Wordpress com integrações e Api´s com Hotmart e Zoho One;500;1000;06 de Novembro de 2020 14:44;['HTML', 'PHP', 'WordPress', 'API', 'CSS', 'Java', 'JavaScript', 'Python', 'SQL', 'Design Gráfico'];Brasil
Integração via Api plataforma web e sistema Erp banco de dados Sql;100;250;06 de Novembro de 2020 11:53;['PHP', 'API', 'HTML', 'SQL', 'SQL Server', 'Lojas Virtuais (e-commerce)'];Brasil
Desativação de site .Net com Sql;100;250;28 de Setembro de 2020 13:16;['.NET', 'Amazon Web Services', 'ASPNET', 'SQL', 'SQL Server'];Brasil
Programador front end Blazor;15;45;27 de Setembro de 2020 14:54;['JavaScript', 'PHP', 'API', 'C#', 'CSS', 'HTML', 'HTML5', 'SQL', 'MVC', 'Responsive Web Design'];Chile
Cónsulta inventario;250;500;26 de Setembro de 2020 22:37;['HTML5', 'MySQL', 'PHP', 'SQL', 'WooCommerce'];Colômbia
Suporte à Software;250;500;25 de Setembro de 2020 13:12;['JavaScript', 'CSS', 'Java', 'Linux', 'SQL'];Brasil
Ecommerce desarrollado con Laravel/Symfony;3000;3000;24 de Setembro de 2020 07:14;['JavaScript', 'MySQL', 'PHP', 'HTML5', 'SQL', 'Symfony', 'Laravel', 'CSS3'];Espanha
Pdv Frente de Caixa com controle de Estoque (Pronta Entrega) em Java;250;500;23 de Setembro de 2020 18:33;['MySQL', 'Java', 'SQL', 'SQL Server'];Brasil
Findoctor;100;250;21 de Setembro de 2020 22:51;['JavaScript', 'MySQL', 'PHP', 'API', 'CSS', 'HTML', 'Ruby', 'Ruby on Rails', 'SQL', 'Vue.js'];Guatemala
Plataforma de distribucion y logistica;1000;3000;20 de Agosto de 2020 21:51;['JavaScript', '.NET', 'SQL', 'AngularJS'];Argentina
Estructura de Base de Datos, formularios y consulta;50;100;20 de Agosto de 2020 14:19;['HTML5', 'JavaScript', 'Microsoft Access', 'MySQL', 'Oracle MySQL', 'PHP', 'PostgresSQL', 'SQL'];Colômbia
E-commerce de Móveis;250;500;20 de Agosto de 2020 01:27;['API', 'CSS', 'HTML', 'JavaScript', 'SQL'];Brasil
Integração Office Banking - Erp (Benner);250;500;18 de Agosto de 2020 13:26;['ERP', 'SQL', 'VBA'];Brasil
Desenvolvedor Java Pleno (dentro ou fora do Rj);500;1000;17 de Agosto de 2020 10:45;['JavaScript', 'HTML', 'HTML5', 'SQL', 'SQL Server', 'Struts', 'Responsive Web Design'];Brasil
Graficar carta de vientos;50;100;16 de Agosto de 2020 17:27;['Python', 'SQL'];Colômbia
Calcular Custo Médio de uma posição de ações;50;100;16 de Agosto de 2020 14:20;['Microsoft Access', 'SQL'];Brasil
Sistema de gerenciamente de energia elétrica de empresa de varejo com mais de 200 lojas;3000;3000;23 de Julho de 2020 13:37;['Microsoft Excel', 'Microsoft PowerPoint', 'Java', 'Python', 'SQL', 'C', 'JavaScript', 'MySQL', 'Design Gráfico'];Brasil
Replicação de Dados Master x Slave em Banco Firebird 3.0 - Delphi;100;250;22 de Julho de 2020 10:59;['Database', 'Delphi', 'SQL', 'Firebird'];Brasil
Consultor Linx;15;45;22 de Julho de 2020 07:29;['HTML5', 'MySQL', 'PHP', 'Linux', 'Software Testing', 'SQL', 'SQL Server', 'Lojas Virtuais (e-commerce)'];Portugal
Desarrollo de framework de pruebas unitarias (T-Sql) para servidor Sybase/Sap Ase (Adaptive Server Enterprise);1000;3000;18 de Julho de 2020 17:19;['SQL', 'SQL Server', 'Sybase'];Panamá
Desenvolvedor Node.Js;15;15;10 de Julho de 2020 22:01;['JavaScript', 'API', 'Node.js', 'SQL', 'MongoDB'];Brasil
Consultor Linx - Wp001;45;45;10 de Julho de 2020 16:08;['HTML5', 'MySQL', 'PHP', 'SQL'];Brasil
Trabalho de migração de rotinas, Sql;15;15;10 de Julho de 2020 11:12;['HTML5', 'MySQL', 'PHP', 'SQL', 'Inglês'];Brasil
Aplicación reservas con consulta Sql (Delphi 10.3);250;500;26 de Maio de 2020 11:30;['Delphi', 'SQL'];Espanha
Transcrição/tradução ptbr livro programação + slides de apresentação;100;250;26 de Maio de 2020 10:16;['MySQL', 'Oracle MySQL', 'Oracle PL/SQL', 'SQL'];Brasil
Programador para sitio web;50;50;21 de Maio de 2020 22:21;['JavaScript', 'PHP', 'API', 'CSS', 'HTML5', 'SQL', 'Desenvolvimento Web'];Colômbia
Desarrollador Php;1000;3000;20 de Maio de 2020 10:26;['JavaScript', 'MySQL', 'PHP', 'SQL', 'Symfony', 'Laravel', 'Ionic Framework'];Espanha
Crear un Marketplace;1000;3000;18 de Maio de 2020 22:22;['JavaScript', 'PHP', 'API', 'HTML', 'Python', 'SQL', 'Desenvolvimento Web', 'MongoDB', 'React.js', 'Meteor JS'];Panamá
Necesito modificar un proyecto en Laravel;50;100;18 de Maio de 2020 20:56;['HTML', 'JavaScript', 'MySQL', 'PHP', 'SQL', 'Laravel'];Panamá
Comunidade e Rede social;250;500;15 de Maio de 2020 21:35;['API', 'JavaScript', 'Node.js', 'PostgresSQL', 'React.js', 'SQL'];Brasil
Verificación de Instalación de Base de Datos Sybase 15.7.0, dentro de Centos 6;50;50;24 de Abril de 2020 16:29;['CentOS', 'Linux', 'SQL', 'Sybase'];Guatemala
Criação de módulo para conferência/separação de pedidos;100;250;21 de Abril de 2020 12:15;['JavaScript', 'PHP', 'Aplicativos desktop', 'MySQL', 'SQL'];Brasil
Desenvolvimento de portal Web;500;1000;20 de Abril de 2020 15:26;['JavaScript', 'Node.js', 'PostgresSQL', 'SQL', 'React.js'];Brasil
Dba Mysql;250;500;18 de Abril de 2020 01:00;['dBase', 'MySQL', 'Oracle MySQL', 'SQL'];Brasil
